participant_id,trial,condition,word,color,response,reaction_time
1,1,congruent,red,red,b,933.6277622971892
1,2,congruent,red,red,y,734.4963197335094
1,3,incongruent,blue,red,g,896.9710286450861
1,4,incongruent,blue,red,b,779.4735569583567
1,5,congruent,green,green,r,960.397883633962
1,6,congruent,blue,blue,g,800.0482608940355
1,7,incongruent,blue,green,y,926.678871244671
1,8,congruent,red,red,b,875.5292567603713
1,9,congruent,green,green,b,978.6542694462784
1,10,congruent,blue,blue,r,891.809690627127
1,11,incongruent,red,green,y,909.456084971612
1,12,incongruent,blue,red,r,890.803303178368
1,13,congruent,blue,blue,b,972.9064174526948
1,14,congruent,blue,blue,g,867.7629345495563
1,15,congruent,blue,blue,b,872.5745149811684
1,16,congruent,yellow,yellow,r,817.2870193433697
1,17,incongruent,red,green,r,986.0190747013517
1,18,congruent,red,red,g,846.0442373149078
1,19,incongruent,red,blue,r,864.4058803898091
1,20,congruent,green,green,y,780.75299035055
1,21,incongruent,green,blue,y,832.3286659531706
1,22,incongruent,blue,yellow,r,981.4319853773115
1,23,congruent,yellow,yellow,r,841.3418898159982
1,24,incongruent,blue,red,y,856.0977234744585
1,25,incongruent,green,red,g,984.6597008203933
1,26,congruent,green,green,g,797.8779058837974
1,27,incongruent,green,blue,y,948.5261595358947
1,28,incongruent,green,red,y,823.3580668567939
1,29,incongruent,red,blue,r,980.1355083487488
1,30,incongruent,blue,red,r,889.9320087185564
1,31,incongruent,yellow,green,y,958.7224341007568
1,32,incongruent,red,green,y,969.5002421457568
1,33,incongruent,blue,green,y,828.9831253388021
1,34,congruent,blue,blue,g,790.8631667778551
1,35,incongruent,blue,yellow,b,883.9713417367591
1,36,congruent,red,red,r,844.5558357776417
1,37,incongruent,green,red,b,1014.7142155033438
1,38,congruent,green,green,y,864.4863246666213
1,39,congruent,green,green,g,791.2339277217061
1,40,congruent,red,red,g,678.3718459716611
2,1,congruent,yellow,yellow,b,786.386883182854
2,2,congruent,green,green,g,759.8832643315488
2,3,congruent,green,green,g,722.9844009704005
2,4,congruent,red,red,r,721.5561043592271
2,5,congruent,red,red,g,638.3860750865073
2,6,incongruent,yellow,green,g,1050.8374056980351
2,7,incongruent,yellow,green,r,981.2963464060964
2,8,incongruent,blue,green,b,1007.4271668884468
2,9,incongruent,green,red,g,991.560286647588
2,10,congruent,green,green,y,732.9482578942221
2,11,congruent,red,red,r,802.0149926788739
2,12,congruent,yellow,yellow,y,737.3340427840723
2,13,congruent,green,green,r,860.9354315663317
2,14,incongruent,red,green,g,879.3985912872932
2,15,congruent,red,red,g,615.7175588735507
2,16,congruent,yellow,yellow,g,849.105965933125
2,17,congruent,red,red,b,702.285354922111
2,18,congruent,blue,blue,y,707.3869963880423
2,19,incongruent,red,green,r,1012.9127905580102
2,20,incongruent,green,red,r,936.870132018912
2,21,incongruent,red,green,y,954.2741677035756
2,22,incongruent,yellow,red,r,792.3224982163912
2,23,congruent,green,green,b,913.1342604390494
2,24,incongruent,green,yellow,b,1057.5150902246364
2,25,incongruent,red,green,b,950.3994175741024
2,26,congruent,blue,blue,y,736.1881466286632
2,27,incongruent,blue,green,b,922.0153189502674
2,28,incongruent,blue,yellow,r,937.7735149831332
2,29,incongruent,green,blue,g,895.5699776190891
2,30,congruent,blue,blue,r,749.5261227195375
2,31,congruent,red,red,y,684.0412248983274
2,32,congruent,blue,blue,b,649.7690965557006
2,33,incongruent,blue,red,r,1001.3382995799968
2,34,incongruent,red,yellow,y,965.9446992725326
2,35,incongruent,yellow,red,r,920.3199472610648
2,36,incongruent,blue,green,g,891.3127101496099
2,37,incongruent,yellow,green,y,1141.0627831178276
2,38,congruent,green,green,y,756.8931087114863
2,39,congruent,green,green,g,836.2547430763677
2,40,incongruent,yellow,blue,b,1059.1017178433922
3,1,congruent,yellow,yellow,y,800.1012128067565
3,2,congruent,blue,blue,y,708.2086890743408
3,3,incongruent,blue,yellow,g,974.0730576395024
3,4,congruent,yellow,yellow,g,791.0439753128152
3,5,congruent,yellow,yellow,r,807.7795799276176
3,6,incongruent,green,blue,y,958.463422253852
3,7,incongruent,yellow,red,g,871.0558243354723
3,8,incongruent,red,yellow,g,1078.0109079873846
3,9,incongruent,yellow,green,r,922.56087601413
3,10,congruent,yellow,yellow,y,878.8383061409261
3,11,congruent,green,green,r,787.0518881362174
3,12,incongruent,red,yellow,y,1028.5834482358605
3,13,congruent,blue,blue,r,756.6905909181019
3,14,incongruent,red,blue,y,947.6586541665793
3,15,congruent,red,red,g,835.7097645230805
3,16,congruent,green,green,r,848.1340655221985
3,17,congruent,blue,blue,g,865.0816519285115
3,18,congruent,yellow,yellow,b,738.5905311006109
3,19,incongruent,blue,red,r,928.361693881322
3,20,congruent,red,red,b,843.9765770980588
3,21,incongruent,yellow,blue,b,1053.128325040526
3,22,congruent,green,green,r,674.1157840215685
3,23,congruent,red,red,y,931.2160954874372
3,24,congruent,yellow,yellow,r,737.3734273180728
3,25,incongruent,green,yellow,r,941.6988217059572
3,26,congruent,green,green,g,730.1549292036128
3,27,incongruent,green,yellow,y,953.2346985980932
3,28,incongruent,blue,yellow,b,984.7558289855334
3,29,incongruent,blue,red,y,1000.04622202056
3,30,incongruent,blue,red,b,875.0605625993901
3,31,congruent,blue,blue,y,705.9969699629612
3,32,incongruent,green,red,b,976.6877713107044
3,33,incongruent,yellow,green,r,1012.9452747944388
3,34,congruent,red,red,b,775.3279948550263
3,35,congruent,blue,blue,g,726.5766535027182
3,36,incongruent,green,red,y,936.5148315798368
3,37,incongruent,green,blue,b,1025.0418759950458
3,38,incongruent,yellow,green,b,1000.8889612778096
3,39,incongruent,green,yellow,b,1046.0437555780004
3,40,congruent,red,red,b,782.7720131593667
4,1,congruent,yellow,yellow,g,973.0294204092856
4,2,congruent,yellow,yellow,b,877.2499638960867
4,3,congruent,blue,blue,b,838.687041748753
4,4,incongruent,green,red,r,1025.9039168274562
4,5,incongruent,green,red,g,1027.399645345398
4,6,congruent,green,green,r,957.4971283859322
4,7,incongruent,green,blue,y,847.4400907477116
4,8,incongruent,red,yellow,y,941.948910733764
4,9,incongruent,green,yellow,r,1019.4138793854498
4,10,congruent,green,green,g,902.0425024908604
4,11,congruent,green,green,b,990.3188188728342
4,12,congruent,yellow,yellow,y,920.398748039327
4,13,congruent,blue,blue,b,1106.9267801638955
4,14,incongruent,yellow,blue,b,1132.3892527894373
4,15,incongruent,blue,red,g,934.5854370590772
4,16,congruent,blue,blue,y,1044.7054716996308
4,17,congruent,green,green,b,914.9538991304436
4,18,incongruent,yellow,green,g,1042.538408482233
4,19,congruent,red,red,g,1101.7074550450734
4,20,incongruent,red,blue,b,921.9080157737592
4,21,congruent,yellow,yellow,b,1013.3942954966838
4,22,incongruent,green,yellow,b,838.6090048157446
4,23,incongruent,green,yellow,b,990.9567438633932
4,24,incongruent,yellow,blue,y,1020.5232843773604
4,25,incongruent,yellow,red,b,1009.419700205022
4,26,congruent,green,green,g,789.9387169032558
4,27,congruent,yellow,yellow,r,960.4353625915938
4,28,congruent,red,red,r,948.4938477366092
4,29,incongruent,red,green,b,861.4180994645693
4,30,incongruent,yellow,red,r,883.7104088852229
4,31,incongruent,green,yellow,r,836.2576436614162
4,32,congruent,red,red,b,933.7111192506372
4,33,congruent,red,red,r,1069.762563300365
4,34,incongruent,blue,green,r,954.8243290169308
4,35,incongruent,red,green,y,943.4047383951862
4,36,incongruent,blue,yellow,b,843.2071252448435
4,37,congruent,red,red,g,878.4005254917129
4,38,congruent,blue,blue,y,963.6102223945072
4,39,congruent,red,red,y,837.3472889525112
4,40,incongruent,blue,red,r,934.4140689260224
5,1,incongruent,yellow,red,r,1082.5822243917337
5,2,incongruent,red,yellow,g,1139.6812105320423
5,3,incongruent,red,yellow,r,1223.5803998526735
5,4,congruent,blue,blue,b,789.1282145207794
5,5,congruent,red,red,g,616.1266823004078
5,6,congruent,yellow,yellow,g,642.7102699227421
5,7,incongruent,blue,red,b,1073.632312431081
5,8,incongruent,yellow,red,r,1017.6614630992768
5,9,incongruent,yellow,blue,b,1053.2845567532445
5,10,incongruent,blue,yellow,b,1130.0922680194003
5,11,incongruent,blue,red,y,1129.30456914129
5,12,incongruent,green,red,y,1182.8498885802762
5,13,congruent,yellow,yellow,r,703.0689798458313
5,14,incongruent,green,blue,b,1096.5507128462475
